Date;Receipt number;Receipt type;Total collected;Payment type;Store
31/12/2020 17.29;36-6433;Sale;7913500;GRAB FOOD;Crisbar Metro Margahayu
31/12/2020 17.29;29-7942;Sale;9000000;GRAB FOOD;Crisbar Sukajadi
31/12/2020 17.26;23-15189;Sale;4500000;GO FOOD;Crisbar Sukabirus
31/12/2020 17.26;4-43893;Sale;3600000;Cash;Crisbar Cisitu
31/12/2020 17.24;4-43892;Sale;2500000;Cash;Crisbar Cisitu
31/12/2020 17.23;43-3024;Sale;9600000;GRAB FOOD;Crisbar Unjani
31/12/2020 17.22;23-15188;Sale;1350000;SHOPEE PAY;Crisbar Sukabirus
31/12/2020 17.22;23-15187;Sale;1350000;SHOPEE PAY;Crisbar Sukabirus
31/12/2020 17.22;33-17464;Sale;4650000;Cash;Crisbar Unjani
31/12/2020 17.21;44-1916;Sale;3956700;GRAB FOOD;Crisbar Cisitu
31/12/2020 17.21;15-33924;Sale;4000000;Cash;Crisbar Jatinangor
31/12/2020 17.21;33-17463;Sale;2700000;Cash;Crisbar Unjani
31/12/2020 17.20;36-6432;Sale;3200000;GO FOOD;Crisbar Metro Margahayu
31/12/2020 17.19;43-3023;Sale;6100000;GO FOOD;Crisbar Unjani
31/12/2020 17.19;4-43891;Sale;2100000;Cash;Crisbar Cisitu
31/12/2020 17.17;38-6003;Sale;4450000;Cash;Crisbar Metro Margahayu
31/12/2020 17.17;27-8651;Sale;0;Cash;Crisbar Antapani
31/12/2020 17.16;4-43890;Sale;0;Cash;Crisbar Cisitu
31/12/2020 17.16;27-8650;Sale;3400000;GO FOOD;Crisbar Antapani
31/12/2020 17.15;43-3022;Sale;6200000;GRAB FOOD;Crisbar Unjani
31/12/2020 17.14;33-17462;Sale;1550000;Cash;Crisbar Unjani
31/12/2020 17.10;33-17461;Sale;2000000;Cash;Crisbar Unjani
31/12/2020 17.09;43-3021;Sale;4764200;GRAB FOOD;Crisbar Unjani
31/12/2020 17.06;33-17460;Sale;1950000;Cash;Crisbar Unjani
31/12/2020 17.06;4-43889;Sale;0;Cash;Crisbar Cisitu
31/12/2020 17.06;43-3020;Sale;1950000;Cash;Crisbar Unjani
31/12/2020 17.05;19-39890;Sale;1900000;Cash;Crisbar Sukapura
31/12/2020 17.02;29-7941;Sale;5900000;GRAB FOOD;Crisbar Sukajadi
